 OTUID	N1_40	E3_60	E1_0	N2_0	E3_40	E2_60	N2_40	E3_0	E2_40	E1_40	N3_60	N1_60	N1_0	N2_60	E1_60	E2_0	N3_0	N3_40
OTU_559	5	5	1	14	3	10	9	5	6	6	3	11	8	7	11	3	5	5
OTU_411	9	3	10	5	4	12	9	11	3	3	10	7	8	8	5	11	6	9
OTU_372	7	114	21	145	8	47	18	34	2	2	13	113	80	14	255	67	88	1
OTU_2636	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_240	1	4	112	0	4	0	1	57	8	2	1	2	6	0	2	83	5	3
OTU_625	8	11	6	15	25	19	5	4	7	11	13	9	12	7	14	10	11	5
OTU_201	8	34	3	8	185	85	19	5	89	45	7	14	6	3	51	2	12	18
OTU_964	77	3	0	1	26	8	30	3	319	94	24	29	2	5	10	0	1	151
OTU_248	7	1	2	1	0	3	4	1	1	2	14	6	0	176	1	1	3	4
OTU_1333	5	5	31	11	0	1	3	11	1	0	0	7	58	1	6	18	40	0
OTU_2050	68	6	2	1	12	22	50	11	7	7	27	9	7	86	6	1	14	154
OTU_1730	32	3	0	0	4	2	11	0	1	2	5	2	1	0	1	0	0	30
OTU_230	168	29	2	42	89	31	120	1	39	80	12	23	50	15	33	2	38	144
OTU_1501	28	205	22	24	45	208	46	12	39	35	143	57	10	8	236	10	8	58
OTU_308	7	100	2	6	4	113	10	3	2	8	13	15	17	12	27	2	8	5
OTU_373	1	0	0	0	67	0	1	1	13	4	0	0	1	0	3	0	0	0
OTU_80	3	4	2	2	11	2	9	0	813	45	3	2	3	0	6	1	2	10
OTU_257	18	33	150	26	5	10	36	112	13	10	7	87	22	5	8	202	14	27
OTU_2117	0	0	17	0	0	0	0	10	0	0	0	0	0	0	0	8	0	0
OTU_259	27	17	17	22	10	7	15	19	6	10	18	19	25	12	15	12	5	17
OTU_1157	60	30	50	78	16	29	60	31	27	18	394	302	68	16	20	40	68	23
OTU_396	1	0	0	0	9	0	1	1	2	17	12	1	0	28	33	1	0	2
OTU_2080	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	1
OTU_368	7	9	25	14	7	9	2	18	5	13	12	12	11	16	6	20	9	3
OTU_839	43	6	2	0	164	5	20	0	11	1	13	19	2	4	1	0	3	48
OTU_648	2	4	194	1	4	1	0	102	8	4	1	3	0	2	6	120	0	0
OTU_697	1	1	0	0	0	0	3	0	0	0	3	9	1	8	0	0	1	1
OTU_169	10	130	2	31	244	179	28	3	188	58	40	72	12	11	163	3	20	31
OTU_445	3	1	0	0	1	0	15	0	1	15	1	5	0	9	8	0	0	6
OTU_2419	9	28	1	0	0	4	0	1	0	0	12	42	0	4	4	0	2	3
OTU_153	83	67	39	51	73	59	44	36	64	65	64	88	40	39	61	33	42	71
OTU_180	0	2	0	0	15	3	0	0	201	34	1	2	0	1	0	1	0	6
OTU_2546	58	0	1	1	1	0	14	0	1	0	3	1	1	0	2	0	0	26
OTU_2697	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0
OTU_1559	0	0	0	0	15	3	1	0	1	0	6	5	0	0	1	0	0	6
OTU_380	4	1	0	1	2	1	2	0	1	0	50	4	0	3	0	0	0	1
OTU_858	9	164	7	17	22	201	39	6	37	17	133	20	4	8	95	6	11	36
OTU_538	3	3	9	28	2	6	3	11	4	2	5	1	27	1	5	11	20	1
OTU_98	49	11	3	1	351	12	48	0	3	1	232	110	7	11	7	1	3	127
OTU_327	12	9	9	13	7	4	8	12	9	1	15	11	8	8	9	5	15	7
OTU_195	20	30	92	52	30	26	15	62	27	19	40	32	42	12	28	75	37	12
OTU_2042	20	1	0	2	2	0	14	1	0	0	44	21	5	36	2	0	1	9
OTU_780	11	28	4	13	1	19	7	2	27	8	174	142	13	169	9	10	1	3
OTU_132	140	23	5	331	62	38	82	3	39	38	26	71	282	33	41	1	189	136
OTU_2431	53	245	32	5	19	62	14	28	27	97	6	80	9	2	57	20	7	9
OTU_354	6	1	1	48	3	0	10	0	0	1	2	1	43	0	0	1	23	15
OTU_228	52	22	25	25	37	24	37	26	37	29	35	39	23	32	29	12	32	49
OTU_2418	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
OTU_235	71	0	0	16	17	3	58	1	12	4	55	8	14	5	3	2	13	43
OTU_2461	2	1	0	6	1	0	0	0	2	1	3	3	3	0	1	0	4	2
OTU_302	1	21	2	0	83	26	12	3	53	9	1	3	3	6	11	1	2	4
OTU_90	101	7	1	4	75	3	147	4	36	17	35	14	5	98	7	1	4	614
OTU_2151	0	0	4	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
OTU_118	234	2	2	2	46	0	164	5	9	1	42	107	1	83	4	4	4	144
OTU_191	6	16	4	2	93	11	8	1	118	2	49	11	3	5	0	4	3	93
OTU_619	9	0	10	19	2	1	1	12	6	3	6	7	13	2	0	10	29	6
OTU_481	1	3	51	1	0	1	0	37	1	1	0	1	3	2	2	60	1	0
OTU_1141	2	1	0	0	2	0	9	0	1	0	0	0	0	1	0	0	0	1
OTU_973	2	2	1	2	1	3	2	1	2	0	2	0	1	3	1	0	1	1
OTU_110	430	38	6	7	11	15	262	2	48	56	66	240	4	56	34	2	3	206
OTU_333	43	20	134	47	26	29	24	86	39	18	53	24	84	10	22	105	40	20
OTU_498	0	0	0	0	0	0	1	0	1	0	0	0	1	35	0	0	0	0
OTU_1746	84	1	0	3	19	21	64	14	2	2	37	7	1	71	1	3	10	160
OTU_336	17	2	0	5	0	1	32	1	0	1	12	29	4	14	1	0	0	19
OTU_790	0	0	0	6	1	0	0	0	0	0	0	1	1	0	0	0	1	0
OTU_419	2	1	0	1	1	0	2	1	0	1	5	1	0	46	0	0	0	2
OTU_1369	1	3	4	11	2	1	1	5	2	0	1	1	4	1	3	9	4	1
OTU_449	0	1	36	1	1	1	0	11	0	0	0	0	0	0	1	28	1	0
OTU_552	9	2	2	4	0	3	6	4	2	1	10	10	3	7	5	3	4	4
OTU_1938	14	11	8	57	19	8	19	7	23	8	21	10	50	10	19	4	56	17
OTU_1458	0	0	0	0	0	2	0	1	0	0	1	0	1	1	0	1	0	0
OTU_99	107	94	127	104	98	89	102	129	70	53	111	110	85	95	75	112	90	98
OTU_2344	19	2	3	285	16	3	15	2	5	6	7	7	291	4	2	3	179	14
OTU_1370	11	10	68	21	11	10	6	58	9	6	11	7	25	4	10	57	20	4
OTU_255	16	2	2	8	8	4	10	2	2	5	83	73	3	38	5	1	6	19
OTU_190	105	3	1	4	25	8	107	0	7	16	1	43	3	20	5	1	3	5
OTU_251	5	1	76	1	5	1	4	27	7	5	2	2	1	1	1	91	2	1
OTU_728	0	1	8	0	1	1	0	1	11	4	1	4	0	0	4	6	2	1
OTU_580	5	11	13	9	3	2	7	7	3	5	12	14	14	6	5	4	6	3
OTU_448	5	2	1	0	20	2	2	0	59	1	16	44	1	0	0	0	0	3
OTU_1470	146	7	3	4	39	25	171	1	35	3	30	39	5	29	32	3	3	149
OTU_157	5	34	3	0	136	32	21	1	69	11	39	35	1	1	39	1	1	89
OTU_1660	0	1	55	31	0	3	0	87	1	1	0	0	22	0	0	67	29	1
OTU_1623	3	1	1	2	2	0	0	0	0	1	0	0	0	0	1	1	0	0
OTU_1031	0	1	0	7	0	0	6	0	0	0	1	0	11	0	0	0	6	0
OTU_154	14	92	1	2	359	99	9	1	24	10	6	7	4	2	78	1	0	26
OTU_352	12	8	11	5	8	5	14	17	9	8	13	12	15	5	9	17	14	13
OTU_1714	3	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	3	2
OTU_2279	7	9	54	16	4	12	4	58	7	3	12	8	15	2	7	54	7	2
OTU_633	11	8	7	14	10	5	5	6	0	1	22	7	38	5	9	6	28	6
OTU_365	1	1	0	0	0	1	5	1	3	0	63	9	1	0	5	0	1	0
OTU_2774	2	2	11	85	23	6	1	128	5	0	6	0	19	0	2	14	336	17
OTU_734	4	3	12	24	1	1	17	1	2	1	10	13	23	8	0	9	12	3
OTU_198	4	6	1	225	5	8	12	1	2	4	6	6	71	1	3	1	67	3
OTU_1261	0	3	1	0	0	0	1	4	2	2	7	1	2	0	1	1	2	1
OTU_1183	13	19	5	126	3	28	12	14	8	6	5	8	27	8	14	57	46	8
OTU_1818	1	39	32	8	4	82	2	39	11	13	8	7	7	2	42	55	21	5
OTU_97	30	35	26	18	27	26	20	19	36	29	17	20	22	14	22	24	25	18
OTU_975	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0
OTU_2365	10	2	3	41	3	5	121	4	15	1	175	22	6	171	2	13	11	18
OTU_525	42	44	8	83	124	33	39	9	20	39	139	332	114	13	42	8	73	78
OTU_224	6	7	18	139	5	7	1	13	13	1	20	5	119	3	1	14	154	10
OTU_2386	1	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1
OTU_677	1	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2	0	1
OTU_719	0	0	7	0	0	1	1	9	0	0	0	0	0	0	0	6	0	0
OTU_299	32	13	18	17	29	22	20	14	26	18	22	28	14	14	36	14	14	20
OTU_270	10	50	65	23	22	29	6	70	42	17	13	9	24	6	32	87	15	5
OTU_409	2	0	31	13	4	0	2	26	3	0	1	5	16	0	0	45	14	1
OTU_1292	2	8	3	0	8	2	0	1	23	21	0	3	1	0	8	0	0	3
OTU_184	36	15	2	3	38	14	43	2	6	1	79	70	5	11	61	0	5	37
OTU_143	20	18	407	47	13	18	20	292	21	16	28	18	85	9	18	396	53	33
OTU_172	80	168	24	28	121	76	49	17	53	46	108	263	33	85	73	14	32	32
OTU_88	129	53	12	4	39	46	91	5	189	39	33	263	2	35	80	11	16	52
OTU_2177	0	10	25	4	1	6	1	6	2	3	7	11	4	0	13	109	2	0
OTU_679	1	2	2	1	1	3	1	3	1	1	4	4	0	1	1	1	2	5
OTU_234	85	1	0	18	7	0	66	0	1	6	17	24	19	3	0	0	31	101
OTU_275	11	12	8	13	7	18	7	15	5	12	11	14	12	13	6	7	10	16
OTU_2740	45	38	41	36	16	29	27	65	25	11	60	30	33	25	29	65	55	21
OTU_381	5	1	19	0	2	2	2	35	0	2	0	0	4	2	1	19	2	3
OTU_2274	46	13	44	3	47	2	9	6	13	65	9	68	15	6	70	5	11	20
OTU_187	27	84	5	46	217	97	18	7	146	53	44	62	71	59	69	5	83	24
OTU_171	167	4	1	48	9	4	135	2	7	2	67	53	50	17	2	0	43	117
OTU_1684	4	1	14	25	6	1	4	16	4	1	9	6	10	2	0	15	10	7
OTU_142	12	25	360	10	10	25	21	229	13	21	12	15	12	8	20	355	9	12
OTU_297	13	17	10	10	9	21	11	17	9	10	15	16	10	9	13	18	14	26
OTU_92	8	2	2	3	952	4	11	0	21	4	9	3	3	8	7	1	4	17
OTU_836	0	0	29	15	0	1	0	20	0	0	0	0	4	0	0	18	8	0
OTU_775	12	2	0	0	1	0	22	6	0	1	29	7	0	36	0	1	4	8
OTU_902	1	1	5	2	4	2	5	6	0	3	6	3	6	5	0	6	8	4
OTU_149	9	23	6	7	293	27	13	4	326	130	13	16	5	1	23	1	1	11
OTU_244	40	29	9	15	4	19	4	6	9	9	81	175	13	82	10	22	11	16
OTU_127	21	171	9	34	463	143	17	16	346	96	105	30	39	34	62	6	30	27
OTU_756	2	2	1	0	1	2	0	2	0	1	1	0	1	0	0	1	5	0
OTU_517	0	12	0	0	4	13	2	0	5	4	2	4	0	4	9	0	0	6
OTU_1048	1	1	1	7	0	1	1	0	1	0	3	0	5	2	2	1	4	2
OTU_1585	10	11	3	99	3	6	6	1	6	5	1	6	181	3	2	4	105	4
OTU_532	3	6	1	0	6	0	1	1	0	1	1	1	3	3	2	2	5	2
OTU_285	2	0	0	0	27	0	2	0	78	7	0	0	0	0	0	0	0	1
OTU_1775	11	3	0	0	0	2	7	1	1	0	17	3	0	17	1	0	4	16
OTU_1489	0	2	0	0	1	0	1	0	1	0	7	4	0	1	2	0	0	1
OTU_711	0	1	5	0	2	0	0	4	0	1	1	0	0	0	3	15	0	0
OTU_348	1	0	0	0	0	1	0	0	0	0	2	1	0	61	0	0	0	0
OTU_335	11	11	18	10	15	6	11	17	7	10	10	8	6	12	16	7	10	12
OTU_301	67	0	0	3	0	1	15	1	7	8	10	11	1	2	1	0	0	27
OTU_1534	474	21	6	2	12	6	141	6	5	38	14	20	12	81	12	5	4	99
OTU_466	11	0	1	1	0	2	13	0	5	16	6	2	0	1	6	0	0	14
OTU_784	0	2	8	0	1	0	0	13	2	0	1	0	0	0	0	26	1	0
OTU_2810	2	3	1	0	0	2	7	0	1	0	5	4	0	0	1	0	0	4
OTU_769	0	9	1	0	1	18	0	0	0	0	1	1	1	0	5	0	0	0
OTU_1281	153	1	2	1	5	1	121	1	0	0	23	328	2	28	0	1	0	22
OTU_284	4	9	42	0	9	3	1	36	26	7	2	8	0	1	3	95	0	1
OTU_674	6	4	5	4	0	4	7	3	1	3	11	2	1	4	3	3	3	2
OTU_886	0	0	6	0	1	0	0	9	0	0	0	1	0	0	0	10	0	0
OTU_2353	47	4	1	4	10	8	16	0	0	4	28	18	5	1	5	0	2	38
OTU_591	3	2	3	3	3	1	3	4	2	2	1	0	3	2	2	3	6	2
OTU_229	0	0	0	0	1	0	0	0	1	0	3	2	1	133	1	0	0	1
OTU_1568	2	6	392	26	2	0	2	224	4	0	3	9	18	0	4	234	16	2
OTU_265	27	14	8	20	23	14	25	17	24	10	28	30	14	19	13	10	9	33
OTU_204	25	1	0	3	2	1	39	1	1	0	106	78	5	97	0	0	1	17
OTU_325	8	13	16	29	11	2	4	10	2	1	15	7	43	1	6	18	41	10
OTU_258	30	13	16	7	22	6	12	12	9	11	19	16	11	9	9	15	6	12
OTU_375	8	13	1	2	9	12	10	0	14	14	8	10	1	4	20	1	2	10
OTU_416	13	13	9	13	14	10	11	14	6	9	20	10	10	15	4	18	2	7
OTU_465	1	0	8	5	2	0	0	5	0	0	1	1	11	0	0	14	4	1
OTU_55	0	0	0	0	748	5	11	0	0	0	1	0	0	5	0	0	0	95
OTU_1127	1	1	1	4	0	0	0	2	1	0	1	0	6	0	1	2	5	0
OTU_1148	5	2	7	1	3	3	0	2	1	2	6	0	2	0	1	0	1	3
OTU_220	46	20	23	26	26	25	40	19	31	18	34	28	18	25	11	16	23	47
OTU_243	2	1	152	2	3	1	0	92	4	0	3	1	0	0	1	138	1	1
OTU_366	4	5	14	5	5	2	7	11	5	7	7	10	9	5	13	11	6	9
OTU_207	1	0	0	47	11	0	1	0	1	0	0	0	68	0	0	0	13	9
OTU_360	10	5	9	9	20	3	13	5	4	6	14	12	12	13	7	9	8	9
OTU_174	0	150	1	2	5	152	50	1	1	0	2	8	3	1	59	2	1	36
OTU_641	0	0	9	0	0	0	0	9	0	0	1	0	1	0	0	9	0	0
OTU_2770	2	3	3	1	1	0	2	1	2	1	1	0	1	2	0	1	0	0
OTU_1478	23	1	0	85	7	5	29	4	3	7	6	4	50	0	3	1	96	76
OTU_1842	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_185	29	41	38	45	34	38	34	52	26	21	54	31	48	40	47	49	46	32
OTU_170	56	8	1	3	0	4	50	4	2	2	79	125	6	135	3	4	5	22
OTU_2226	9	17	4	3	0	10	54	6	7	9	41	130	2	2	13	5	1	29
OTU_320	19	15	23	22	23	19	17	27	13	10	23	25	17	12	20	24	24	26
OTU_705	5	5	9	5	1	2	6	11	4	4	8	3	7	8	7	24	6	5
OTU_2185	16	0	0	3	1	0	4	0	0	0	1	1	8	0	0	0	1	7
OTU_379	20	8	12	14	23	10	23	16	9	21	24	21	9	15	15	6	20	25
OTU_1763	1	50	4	4	3	113	6	5	7	1	70	24	1	11	28	5	2	5
OTU_323	0	0	0	0	0	1	2	0	0	0	0	0	0	66	0	0	0	0
OTU_358	6	3	2	1	5	3	12	0	4	3	24	47	3	7	6	0	2	6
OTU_489	2	4	54	1	4	2	4	35	6	1	0	0	2	3	4	49	4	4
OTU_158	21	17	15	22	20	19	13	18	12	17	8	7	21	21	10	13	27	17
OTU_120	37	3	0	15	0	1	31	2	2	2	81	22	23	429	1	4	11	19
OTU_233	3	131	0	1	0	137	1	4	7	1	3	11	3	2	33	0	0	8
OTU_523	0	1	39	0	1	0	0	21	8	0	0	0	0	0	0	40	2	4
OTU_203	27	25	17	23	31	36	29	11	37	15	38	35	15	16	31	24	16	27
OTU_887	17	1	0	7	3	4	26	0	0	3	2	3	0	0	0	1	0	17
OTU_66	187	3	3	7	8	3	18	0	6	5	62	23	10	950	5	5	9	22
OTU_778	0	0	0	0	11	0	1	0	0	0	0	1	1	0	0	0	0	1
OTU_193	34	24	42	31	24	28	27	58	22	15	51	20	42	32	14	45	32	49
OTU_1276	9	12	205	33	2	10	0	196	0	2	6	4	51	0	15	104	32	5
OTU_1008	0	0	0	23	0	0	0	0	0	0	0	2	14	0	0	0	15	0
OTU_2729	0	1	21	0	0	1	0	76	0	0	0	2	0	0	0	9	9	0
OTU_646	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6
OTU_129	146	70	2	4	56	95	106	2	4	1	113	124	4	40	36	1	5	259
OTU_524	1	2	60	2	0	2	1	23	1	2	2	4	3	1	1	34	1	2
OTU_370	11	4	2	41	32	2	4	0	17	4	21	11	38	0	1	1	21	15
OTU_148	70	60	40	54	76	53	62	70	58	93	135	72	65	74	67	40	37	51
OTU_870	0	0	0	0	2	0	0	0	0	6	0	1	0	1	5	1	0	1
OTU_660	4	4	0	19	5	1	7	2	0	1	14	10	18	8	1	3	23	5
OTU_782	151	1	0	1	5	3	51	2	2	1	115	122	4	24	3	0	2	162
OTU_418	4	2	9	0	3	6	0	4	32	1	0	1	0	0	2	9	0	3
OTU_108	3	11	4	6	697	8	8	5	59	3	3	2	3	5	5	7	6	3
OTU_771	1	2	1	1	1	4	3	0	0	1	3	1	2	2	0	0	0	2
OTU_212	117	14	3	6	64	13	67	1	3	20	56	31	11	25	22	0	3	48
OTU_342	9	4	11	2	2	4	8	4	3	2	4	2	5	6	8	6	7	7
OTU_599	6	0	0	6	0	0	4	0	0	0	11	4	2	0	0	0	4	3
OTU_101	101	6	4	4	598	4	61	1	32	5	21	43	3	5	5	2	3	57
OTU_1123	12	7	53	21	23	5	6	9	23	18	5	3	28	9	14	17	23	5
OTU_182	14	2	5	4	2	1	14	0	3	9	1	1	2	215	5	4	2	30
OTU_269	20	1	0	34	1	0	15	1	0	2	61	26	37	0	1	0	30	19
OTU_586	4	1	2	3	3	3	3	4	1	2	1	1	2	2	4	4	7	0
OTU_484	2	3	3	3	0	3	0	3	0	0	0	1	2	3	2	2	0	3
OTU_338	6	0	0	58	1	0	9	0	0	0	15	7	33	8	1	1	38	8
OTU_447	5	1	0	14	2	0	10	0	0	0	1	5	31	28	1	0	9	3
OTU_1090	0	0	0	0	0	0	3	1	0	0	1	1	1	0	0	0	3	0
OTU_364	8	9	8	11	14	12	10	7	11	10	8	6	8	4	4	3	9	12
OTU_322	19	4	2	1	8	5	11	0	1	0	69	14	1	18	1	0	1	6
OTU_2410	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0
OTU_177	52	12	191	60	22	12	32	120	33	12	66	43	58	23	8	202	67	39
OTU_1590	1	0	0	4	5	0	27	0	43	1	0	1	0	1	0	3	0	2
OTU_746	1	4	0	6	2	1	0	2	2	3	0	1	2	1	2	0	9	1
OTU_1128	0	2	2	3	0	0	0	0	0	0	0	12	4	3	0	0	1	0
OTU_82	13	4	1	2	6	2	13	2	4	3	24	5	2	6	2	0	0	683
OTU_666	5	7	4	3	3	3	7	5	3	4	5	2	3	4	4	5	2	6
OTU_1436	0	0	1	24	1	5	20	4	1	0	16	4	5	6	0	1	21	11
OTU_237	13	0	0	0	2	4	34	0	0	0	6	12	0	97	0	0	2	17
OTU_428	9	46	0	0	7	19	5	0	3	85	3	11	9	0	53	0	0	4
OTU_1507	2	1	2	1	1	1	1	3	2	1	0	0	3	2	1	1	0	0
OTU_460	3	0	2	43	2	1	1	4	2	1	4	0	38	2	0	3	25	2
OTU_446	6	7	13	9	7	8	7	13	3	7	13	8	7	5	2	17	2	6
OTU_2104	0	1	3	0	1	1	0	3	1	0	1	0	0	0	0	2	0	0
OTU_762	1	2	0	23	0	1	1	2	0	0	1	0	11	1	2	6	10	0
OTU_1219	0	15	0	0	2	23	0	3	0	1	3	6	1	3	10	1	2	4
OTU_1035	2	4	1	4	3	3	0	4	0	1	2	0	2	4	1	5	2	0
OTU_1715	56	7	3	4	0	0	5	0	0	10	7	23	26	1	10	0	4	4
OTU_159	35	0	0	1	1	1	9	0	1	3	69	2	1	10	2	0	3	255
OTU_519	0	0	9	0	0	0	0	9	1	0	2	0	0	0	0	9	0	0
OTU_209	50	2	3	45	4	1	35	3	1	0	29	74	34	17	2	3	29	39
OTU_417	13	8	9	11	7	10	15	6	8	8	9	10	16	8	9	7	16	9
OTU_662	0	0	10	0	0	0	0	8	1	0	0	0	0	0	1	12	0	0
OTU_313	28	8	10	15	15	5	22	9	13	8	17	22	12	18	8	6	17	21
OTU_732	1	1	0	1	11	0	0	0	5	3	0	0	0	0	0	0	1	0
OTU_2680	14	1	2	7	0	0	4	3	0	2	3	9	5	5	0	0	4	6
OTU_897	0	0	7	2	0	0	0	18	1	0	1	1	1	0	0	22	1	0
OTU_305	5	8	11	9	15	12	13	6	7	4	8	2	10	2	11	11	5	9
OTU_345	15	16	0	1	5	11	7	0	2	0	4	17	1	61	1	0	1	3
OTU_139	281	2	1	17	5	3	222	0	1	1	51	171	13	113	1	2	6	114
OTU_2065	5	20	0	0	251	27	4	1	3	2	4	1	1	3	4	0	1	4
OTU_468	37	0	0	0	0	1	19	2	1	1	31	19	0	22	0	0	0	20
OTU_1275	1	1	0	4	0	8	2	4	2	0	3	0	1	1	3	1	1	3
OTU_306	2	9	44	1	4	8	1	23	9	11	0	1	1	0	11	60	2	0
OTU_119	1	5	2	0	4	9	2	1	356	1	2	1	1	2	3	1	1	2
OTU_2469	9	0	0	0	0	1	14	0	1	0	7	7	0	1	0	0	0	7
OTU_1981	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
OTU_216	3	0	0	0	0	0	7	0	0	0	0	94	0	2	0	0	0	0
OTU_464	3	10	3	5	3	7	2	9	3	6	9	0	1	3	7	0	5	2
OTU_594	27	6	15	139	8	8	13	14	4	5	22	21	137	9	5	29	141	20
OTU_2532	7	3	1	4	6	3	3	1	3	4	2	9	1	2	4	1	1	2
OTU_1021	0	1	1	2	1	0	1	0	0	1	0	1	3	0	0	0	7	2
OTU_561	26	1	1	1	1	1	15	0	1	0	5	3	6	18	0	0	4	24
OTU_1164	36	23	1	13	16	24	35	1	15	8	27	19	13	13	22	1	19	36
OTU_267	6	0	0	1	0	0	2	0	1	0	6	1	1	84	1	0	1	1
OTU_274	15	0	0	3	1	1	5	1	2	1	6	12	2	88	0	0	0	2
OTU_377	0	0	0	0	0	0	0	0	0	0	1	0	0	42	0	1	0	0
OTU_571	0	0	11	0	2	0	0	8	5	0	0	0	0	1	0	19	0	0
OTU_2698	13	2	1	2	82	4	16	0	86	42	3	1	0	5	3	0	0	12
OTU_1906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_1814	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_722	0	0	6	0	0	0	0	4	0	0	0	1	0	0	0	5	0	0
OTU_1864	3	0	1	4	1	0	2	2	0	2	12	5	10	2	2	1	4	0
OTU_740	2	1	6	2	1	0	1	5	1	1	1	1	6	1	0	6	2	0
OTU_2255	0	1	2	0	0	0	0	3	2	1	1	0	0	2	0	1	0	0
OTU_223	2	9	60	4	3	4	1	209	1	1	2	3	4	1	8	35	6	0
OTU_219	53	28	64	85	32	42	43	71	29	23	56	62	71	36	25	90	79	48
OTU_574	2	3	1	5	2	3	1	3	2	3	4	4	4	8	2	4	3	2
OTU_241	8	4	0	1	0	0	28	1	0	0	3	3	1	74	1	1	1	1
OTU_1695	2	0	3	1	2	2	3	4	4	3	2	3	6	3	3	3	1	4
OTU_291	74	2	1	0	4	1	47	1	2	1	6	3	1	5	5	0	0	67
OTU_304	2	1	3	116	1	3	3	5	1	0	3	4	118	2	5	2	139	6
OTU_356	19	7	33	19	25	9	22	23	5	21	15	13	16	8	9	24	20	17
OTU_482	16	6	7	12	7	11	12	13	11	7	14	12	20	18	5	13	19	13
OTU_612	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	13	3	0
OTU_279	28	0	0	0	3	0	15	0	1	0	4	46	2	4	0	0	0	7
OTU_278	25	15	7	15	21	15	25	12	10	2	16	27	10	8	6	5	10	24
OTU_841	0	0	2	1	2	1	1	3	2	2	46	38	3	42	4	3	2	1
OTU_1496	1	6	23	4	2	1	2	19	2	4	2	1	2	0	2	17	5	0
OTU_1263	1	0	2	2	1	0	4	0	2	0	4	1	0	0	0	0	0	0
OTU_1267	5	3	74	4	6	3	5	8	1	6	4	14	8	3	2	19	1	4
OTU_276	2	2	0	5	1	1	3	2	0	1	110	47	3	27	0	0	1	2
OTU_347	7	19	13	12	3	10	6	12	6	5	10	5	6	8	4	15	12	11
OTU_744	1	4	0	2	6	7	2	3	3	2	2	4	1	3	1	1	1	4
OTU_1437	23	8	2	2	16	5	48	2	17	103	2	6	3	4	11	2	2	11
OTU_576	0	0	0	14	1	0	3	0	0	1	0	1	14	0	0	0	15	0
OTU_1447	30	2	1	1	16	0	32	0	2	7	2	13	1	3	2	4	2	18
OTU_664	2	1	3	3	3	3	1	1	1	1	3	3	4	2	4	1	3	1
OTU_1526	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	4	0
OTU_1143	4	0	0	0	0	0	2	1	1	0	1	0	0	2	0	1	0	1
OTU_793	14	0	9	27	6	1	14	31	3	1	2	1	14	0	1	3	74	24
OTU_1322	0	2	6	0	0	0	0	2	3	1	1	1	0	0	0	2	0	1
OTU_474	0	1	51	1	3	3	3	34	5	2	2	1	3	2	3	68	0	0
OTU_629	3	4	4	5	6	1	6	6	4	2	4	9	5	4	3	3	6	4
OTU_1613	0	2	5	0	1	1	1	3	0	0	0	0	0	0	0	5	0	0
OTU_1171	1	0	0	2	0	2	1	1	0	1	3	1	2	0	2	0	0	0
OTU_357	4	0	37	2	6	1	0	20	5	1	1	2	1	0	0	32	1	0
OTU_353	10	11	13	5	7	11	7	15	9	9	12	7	13	5	4	15	8	11
OTU_1562	0	0	0	10	0	0	0	0	0	0	1	1	5	0	0	0	2	1
OTU_326	20	5	3	61	4	4	3	4	8	2	40	16	92	17	3	9	75	20
OTU_493	26	1	1	3	2	0	9	1	0	1	12	1	0	24	0	1	1	20
OTU_492	0	0	23	0	0	0	0	0	0	1	0	0	13	0	0	24	0	0
OTU_2522	27	0	0	1	0	0	7	0	0	0	8	19	1	3	1	0	1	7
OTU_2663	2	1	0	0	1	0	7	0	1	0	1	0	0	0	0	0	0	1
OTU_314	21	20	26	27	17	14	19	26	16	22	35	18	16	13	12	24	15	19
OTU_398	0	1	0	0	30	0	0	0	1	1	4	0	0	1	0	0	0	20
OTU_2000	40	37	4	17	170	86	52	6	15	19	227	26	5	67	26	4	34	80
OTU_1186	8	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	3
OTU_2755	8	47	4	2	3	5	1	3	2	1	17	72	7	1	5	2	1	1
OTU_2629	0	0	1	0	0	1	1	0	1	2	0	1	2	3	1	1	2	1
OTU_331	1	2	2	0	93	0	0	0	0	0	2	0	0	0	0	0	1	1
OTU_979	3	0	0	2	0	0	2	0	0	0	3	1	1	4	0	0	2	2
OTU_385	2	0	31	1	1	2	0	20	2	1	1	2	0	0	2	22	1	0
